Picture,Common Name,Scientific Name,Family,Last Seen,Comments,location
![](birdspics/brant_2401.jpg),Brant 黑雁 ![](pixelart/brant_s.png),*branta bernicla*,Waterfowl,"June '25, Malibu CA",can be identified by white neckline,US
![](birdspics/canadian_goose_2501.jpg),Canada Goose 加拿大雁 ![](pixelart/canadagoose_s.png),*branta canadensis*,Waterfowl,"Mar '26, West Lafayette IN",countless of them in blackwater NWR in January,US
![](birdspics/bar_headed_goose_1912.jpg),Bar-headed Goose 斑头雁 ![](pixelart/barheadedgoose_s.png),*anser indicus*,Waterfowl,"Dec '19, Lhasa Tibet",Seen with ruddy shelduck in the pond behind Potala palace,CN
![](birdspics/ruddy_shelduck_1912.jpg),Ruddy Shelduck 赤麻鸭 ![](pixelart/ruddyshelduck_s.png),*tadorna ferruginea*,Waterfowl,"Dec '19, Lhasa Tibet",NA,CN
![](birdspics/black_swan_juv_2302.jpg),Black Swan 黑天鹅 ![](pixelart/blackswan_s.png),*cygnus atratus*,Waterfowl,"Feb '23, Suzhou Jiangsu",juvenile + escaped species,CN
![](birdspics/whistling_swan_2501.jpg),Tundra Swan 小天鹅 ![](pixelart/tundraswan_s.png),*cygnus columbianus*,Waterfowl,"Jan '25, Cambridge MD",small part of yellow on bills,US
![](birdspics/mute_swan_2605.jpg),Mute Swan 疣鼻天鹅 ![](pixelart/muteswan_s.png),*cygnus olor*,Waterfowl,"May '26, Porter IN",NA,"EU, US"
![](birdspics/blue_winged_teal_2603.jpg),Blue-Winged Teal 蓝翅鸭,*spatula discors*,Waterfowl,"Mar '26, West Lafayette IN",NA,US
![](birdspics/mallard_2501.jpeg),Mallard 绿头鸭 ![](pixelart/mallard_s.png),*anas platyrhynchos*,Waterfowl,"Mar '26, West Lafayette IN",sometimes mixed with domestic ducks,"US, CN"
![](birdspics/american_black_duck_2605.jpg),American Black Duck 北美黑鸭,*anas rubripes*,Waterfowl,"May '26, Newark NJ",NA,US
![](birdspics/northern_pintail_2603.jpg),Northern Pintail 针尾鸭 ![](pixelart/northernpintail_s.png),*anas acuta*,Waterfowl,"Mar '26, West Lafayette IN",NA,US
![](birdspics/common_teal_2512.jpg),Green-Winged Teal 绿翅鸭 ![](pixelart/greenwingedteal_s.png),*anas crecca*,Waterfowl,"Dec '25, Suzhou Jiangsu","small duck, standing alone in the paddy fields",CN
![](birdspics/eastern_spot_billed_duck_2601.jpg),Eastern Spot-billed Duck 斑嘴鸭 ![](pixelart/easternspottedbillduck_s.png),*anas zonorhyncha*,Waterfowl,"Jan '26, Suzhou Jiangsu",most common duck in Suzhou,CN
![](birdspics/gadwall_2506.jpg),Gadwall 赤膀鸭 ![](pixelart/gadwall_s.png),*mareca strepera*,Waterfowl,"June '25, Malibu CA",NA,US
![](birdspics/tufted_duck_2512.jpg),Tufted Duck 凤头潜鸭 ![](pixelart/tuftedduck_s.png),*aythya fuligula*,Waterfowl,"Dec '25, Suzhou Jiangsu",NA,CN
![](birdspics/bufflehead_2603.jpg),Bufflehead 白枕鹊鸭 ![](pixelart/bufflehead_s.png),*bucephala albeola*,Waterfowl,"Mar '26, West Lafayette IN",diving like dolphins,US
![](birdspics/mandarin_duck_juv_2306.jpg),Mandarin Duck 鸳鸯 ![](pixelart/mandarinduck_s.png),*aix galericulata*,Waterfowl,"July '25, Beijing","juvenile, identified by dotted webbings",CN
![](birdspics/red_breasted_merganser_2506.jpg),Red-breasted Merganser 红胸秋沙鸭 ![](pixelart/redbreastedmerganser_s.png),*mergus serrator*,Waterfowl,"June '25, Malibu CA",NA,US
![](birdspics/hooded_merganser_2501.jpg),Hooded Merganser 棕胁秋沙鸭 ![](pixelart/hoodedmerganser_s.png),*lophydytes cucullatus*,Waterfowl,"Jan '25, Cambridge MD",go around in couples,US
![](birdspics/ruddy_duck_2603.jpg),Ruddy Duck 棕硬尾鸭 ![](pixelart/ruddyduck_s.png),*oxyura jamaicensis*,Waterfowl,"Mar '26, West Lafayette IN",can be easily identified by tail shape,US
![](birdspics/great_cormorant_1907.jpg),Great Cormorant 普通鸬鹚 ![](pixelart/greatcormorant_s.png),*phalacrocorax carbo*,Cormorants and Anhingas,"Dec '25, Suzhou Jiangsu",NA,"JP, CN"
![](birdspics/double_crested_cormorant_2310.jpg),Double-crested Cormorant 角鸬鹚 ![](pixelart/doublecrestedcormorant_s.png),*nannopterum auritum*,Cormorants and Anhingas,"May '26, Newark NJ",flying across inner harbor,US
![](birdspics/little_grebe_2507.jpg),Little Grebe 小䴙䴘 ![](pixelart/littlegrebe_s.png),*tachybaptus ruficollis*,Grebes,"Dec '25, Suzhou Jiangsu",called 'little PT' in Chinese birding community - too hard to write,CN
![](birdspics/pie_billed_grebe_2603.jpg),Pie-billed Grebe 斑嘴巨䴙䴘,*podilymbus podiceps*,Grebes,"Mar '26, West Lafayette IN",calm cutie,US
