note,lat,lng,type,popup
yulong,27.12898,100.24284,rural,"<br><img src=""birdspics/red_billed_blue_magpie_2303.JPG"" width=""90""> <img src=""birdspics/white_wagtail_2303.JPG"" width=""90""></br> <br>L: Red-billed Blue-Magpie; R: White Wagtail</br>"
lhasa,29.66037,91.11783,urban,"<br><img src=""birdspics/ruddy_shelduck_1912.jpg"" width=""90""> <img src=""birdspics/bar_headed_goose_1912.jpg"" width=""90""></br> <br>L: Ruddy Shelduck; R: Bar-headed Goose</br>"
nola,30.09336,-90.43263,rural,"<br><img src=""birdspics/great_egret_2203.JPG"" width=""90""></br> <br>Great Egret</br>"
chengdu,30.74135,104.14193,urban,"<br><img src=""birdspics/white_browed_laughingthrush_2007.JPG"" width=""90""></br> <br>White-browed Laughingthrush</br>"
guchengqu,31.30295,120.6159,urban,"<br><img src=""birdspics/spotted_dove_2011.jpeg"" width=""90""> <img src=""birdspics/eurasian_tree_sparrow_1911.jpg"" width=""90""></br> <br>L: Spotted Dove; R: Eurasian Tree Sparrow</br>"
huqiu,31.36978,120.57274,rural,"<br><img src=""birdspics/pheasant_tailed_jacana_2507.JPG"" width=""90""><img src=""birdspics/eurasian_moorhen_2507.JPG"" width=""90""></br> <br>L: Pheasant-tailed Jacana; R: Eurasian Moorhen</br>"
forestpark,31.39642,120.90624,urban,"<br><img src=""birdspics/long_tailed_shrike_2302.jpg"" width=""90""></br> <br>Long-tailed Shrike</br>"
ugeorgia,33.94711,-83.37813,urban,"<br><img src=""birdspics/brown_thrasher_2505.JPeG"" width=""90""></br> <br> Brown Thrasher</br>"
malibu,34.0333,-118.6742,rural,"<br><img src=""birdspics/brown_pelican_2506.jpg"" width=""90""> <img src=""birdspics/gadwall_2506.jpg"" width=""90""></br> <br>L: Brown Pelican; R: Gadwall</br>"
kyoto,35.01526,135.67181,rural,"<br><img src=""birdspics/gray_heron_1907.jpg"" width=""90""> <img src=""birdspics/great_cormorant_1907.jpg"" width=""90""></br> <br>L: Gray Heron; R: Great Cormorant</br>"
linyi,35.04778,118.37511,urban,"<br><img src=""birdspics/whiskered_tern_2507.JPG"" width=""90""><img src=""birdspics/black_crowned_night_heron_2507.JPG"" width=""90""></br> <br>L: Whiskered Tern; R: Black-crowned Night Heron</br>"
duke,36.00323,-78.93374,rural,"<br><img src=""birdspics/northern_cardinal_2203.jpg"" width=""90""> <img src=""birdspics/red_tailed_hawk_2201.jpg"" width=""90""></br> <br>L: Northern Cardinal; R: Red-tailed Hawk</br>"
tsingdao,36.05838,120.32057,urban,"<br><img src=""birdspics/black_tailed_gull_2507.JPG"" width=""90""></br> <br>Black Tailed Gull</br>"
yantai,37.52121,121.45454,urban,"<br><img src=""birdspics/grey_capped_greenfinch_2507.JPG"" width=""90""><img src=""birdspics/light_vented_bulbul_2507.JPG"" width=""90""></br> <br>L: Grey-capped Greenfinch; R: Light-vented Bulbul</br>"
blackwater,38.44166,-76.11782,rural,"<br><img src=""birdspics/bald_eagle_2504.JPG"" width=""90""> <img src=""birdspics/wilson_s_snipe_2501.JPG"" width=""90""></br> <br>L: Bald Eagle; R: Wilson's Snipe</br>"
innerharbor,39.27909,-76.59966,urban,"<br><img src=""birdspics/ring_billed_gull_2503.JPG"" width=""90""> <img src=""birdspics/double_crested_cormorant_2310.JPG"" width=""90""></br> <br>L: Ring-billed Gull; R: Double-crested Cormorant</br> "
harpersferry,39.32439,-77.7255,rural,"<br><img src=""birdspics/turkey_vulture_2403.JPG"" width=""90""> <img src=""birdspics/great_blue_heron_2403.JPG"" width=""90""></br><br>L: Turkey Vulture; R: Great Blue Heron</br>"
beihai,39.92546,116.38925,urban,"<br><img src=""birdspics/azure_winged_magpie_2507.JPG"" width=""90""><img src=""birdspics/carrion_crow_2507.JPG"" width=""90""></br> <br>L: Azure-winged Magpie; R: Carrion Crow</br>"
