date,tour,headliner,opener,location,venue,rating,noise level,publish,type
11/8/23,Still… At Their Very Best,The 1975,Dora Jar,Baltimore MD,CFG Bank Arena,7,Tinnitus for a while w/o earplugs,2002,music
12/9/23,Bluebond Band Program Holiday Concerts,,,Philadelphia PA,Bluebond Guitar Shop,,Tinnitus for a while w/o earplugs,,music
1/19/24,[Between Nowhere](../240120_review_ride/index.qmd),RIDE; The Charlatans,,Philadelphia PA,Union Transfer,10,Tinnitus until next day w/o earplugs,1988,music
5/11/24,Interplay 1st Leg,RIDE,Knifeplay,Boston MA,Big Night Live,10,Good w/o earplugs,1988,music
6/14/24,The Collective,Kim Gordon,Bill Nace,Philadelphia PA,Union Transfer,6,Good w/ earplugs,1981,music
7/16/24,Frog in Boiling Water,DIIV,Dutch Interior; Horse Jumper of Love,Washington DC,Howard Theatre,9,Good w/ earplugs,2011,music
8/9/24,The Saviors,Green Day,Rancid; The Linda Lindas; The Smashing Pumpkins,Philadelphia PA,Citizen Bank Park,7,Good w/ earplugs,1986,music
10/6/24,The Psychedelic Furs & The Jesus and Mary Chain,"The Jesus and Mary Chain, The Psychedelic Furs",Frankie Rose,Washington DC,The Anthem,8,Good w/o earplugs,1983,music
10/29/24,[万能青年旅店](../241029_review_oys/index.qmd),万能青年旅店,,New York NY,Terminal 5,9,Good w/o earplugs,2002,music
11/17/24,Everything is Alive,slowdive,quannnic,Washington DC,The Anthem,8,Good w/o earplugs,1989,music
12/7/24,Interplay 2nd Leg,RIDE,Rocket,Washington DC,9:30 Club,7,Good w/o earplugs,1988,music
2/21/25,Les Chants de l'Aurore,Alcest,Kælan Mikla; MONO,Baltimore MD,Baltimore Soundstage,10,Good w/o earplugs,2000,music
4/17/25,La Luz Spring Tour,La Luz,Color Green,Baltimore MD,Ottobar,8,Good w/o earplugs,2012,music
5/5/25,Grand National Tour,Kendrick Lamar; SZA,Mustard,Philadelphia PA,Lincoln Financial Field,8,Good w/o earplugs,2011,music
5/10/25,Romance,Fontaines D.C.,Jadu Heart,Washington DC,The Anthem,9,Tinnitus for a while w/o earplugs,2014,music
6/5/25,Somewhere in Time,RINI,Bathe,Los Angeles CA,The Belasco,7,Good w/o earplugs,2017,music
7/5/25,口 Aha,Carsick Cars,,苏州,山丘LiveHouse,8,Good w/o earplugs,2005,music
10/25/25,破晓还潮,Sadless,野草 The Ruderals,Lafayette IN,Digby’s Pub & Patio,,Good w/o earplugs,,music
5/23/26,[Slide Away '26](../260525_review_sgf/#slide-away),Hum; Nothing; Chapterhouse,Lovesliescrushing; Sunshy; Dim,Chicago IL,Aragon Ballroom,9,Good w/ earplugs,1989,music
5/30/26,[Total Bummer](../260525_review_sgf/#total-bummer),Dinosaur Jr; Meat Puppets,Blonde Redhead; Flipper; Teen Mortgage; No Joy; Miho Hatori; Bloodsports,Brooklyn NY,Knockdown Center,8,Tinnitus for a while w/o earplugs,1984,music
