Track Number,Song Title,Artist,Release Date,Lyrics,Album Name
1,Soft as Snow (But Warm Inside),my bloody valentine,21-Nov-88,"21 ContributorsSoft as Snow (But Warm Inside) Lyrics Soft as snow but warm inside Penetrate, you cannot hide Feeling lost forever, really need you Feeling dark and feeling true This is all I ever knew Soft as skin in leather and I whisper, ""You"" Harder you come down on me (Ooh, ooh) Sink away, you look happy (Ooh, ooh) Secrets keep forever, they're undressing me (Ooh, ooh) Come inside, it's warm in here (Ooh, ooh) Better now to have no fear (Ooh, ooh) Carried on a wave, where it can lead you? (Ooh, ooh) Touch your head, then your hair Softer, softer everywhere Fingertips are burning, can I touch you there? Soft as velvet, eyes can't see Bring me close to ecstasy High away to heaven, and I'm coming too Float now, coming down on me (Ooh, ooh) Handed you what I cannot see (Ooh, ooh) Feel the big happy, you're exploding me (Ooh, ooh) Soft as snow and warm inside (Ooh ooh) Penetrate then re-divide (Ooh, ooh) Slip away forever, really need you (Ooh, ooh) You might also like Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh Ooh, ooh1Embed",Isn’t Anything
2,Lose My Breath,my bloody valentine,21-Nov-88,"20 ContributorsLose My Breath Lyrics Keep coming now Possessed of nothing more than hell Before I can speak My world is wishing me asleep Weigh me down And when the darkness comes around Repeating heads Remember nothing I have said Where are you Come back again, I want you too ""Not now, girl,"" you say But I was born to lose my breathYou might also like2Embed",Isn’t Anything
3,Cupid Come,my bloody valentine,21-Nov-88,"21 ContributorsCupid Come Lyrics Cupid come from coffee cup Sickly heavy heart Semi-set adrift in your Lifted sugar eye Come back down, I'm waiting here And lick me with your fire Connected silver tongues Our lips beside Every time I look at you Pins me to the ground Mirror me your memories, please And let me help you down Swallow me into your bed With glimpses of your thighs Forget your vanity Come Cupid, come You might also like Cupid come from coffee cup Sickly heavy heart Semi-set adrift in your Lifted sugar eye Come back down, I'm waiting here And lick me with your fire Connected silver tongues Our lips beside1Embed",Isn’t Anything
4,(When You Wake) You’re Still in a Dream,my bloody valentine,21-Nov-88,"16 Contributors(When You Wake) Youâre Still in a Dream Lyrics Turn around to watch all the same You know you're simply a game I see you've messed up your laughing head I'll take you again and again When you wake you're still in a dream Not real though I love you unclean I'm telling you you're a sick mind You come back so fine, so fine Know your smile is colder than ice That will back you up real nice But killing hardly's a weapon for you Your wasted space is mine, too Turn around to watch all the same You know you're simply a game I see you've messed up your laughing head I'll take you again and againYou might also like1Embed",Isn’t Anything
5,No More Sorry,my bloody valentine,21-Nov-88,"22 ContributorsNo More Sorry Lyrics What happened now And again And then again And again Left me black and blue No more sorry Flesh and bone Not alone You're not alone Waiting by the telephone Whatever you do Don't call daddy In my hair Everywhere Everywhere And everywhere Fingerprints of you You might also like Filthy, dirty Wash and mend And wash and mend Some kind of friend Your septic heart, your deadly hand Left me black and blue No more sorryEmbed",Isn’t Anything
6,All I Need,my bloody valentine,21-Nov-88,"12 ContributorsAll I Need Lyrics You don't ask what I needed to do When I come back you'll need to choose Oh, whatever I ask you take take take take Oh, this is all I need to say It's in your eye, I wondered why No need to say how close can we lie Oh, we don't talk, you know all I need Oh, this is what I need to take Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmm You don't ask what I needed to do When I come back you'll need to choose Oh, all I ask you do do do do Oh, this is all I need from you Mmm, mmm Mmm, mmm Mmm, mmm Mmm, mmmYou might also like3Embed",Isn’t Anything
7,Feed Me with Your Kiss,my bloody valentine,21-Nov-88,"36 ContributorsFeed Me with Your Kiss Lyrics Change, you get what you see If you can, I believe you can Hey, what's come down over me? It's the way you stood, it's the way you stood 'Cause things, the way they are I guessed you might go real far So feed me with your kiss Oh, come lie down close to me Do what you dare, oh I don't care I will get what I can see I'll crawl over there, I'll crawl over there 'Cause things, the way they are I guessed you might go real far So feed me with your kiss Spread me like I need to use I do what I do, I do what I will do Crave, your kiss will set me free I'll do what I should, I'll do what I should You might also like 'Cause things, the way they are I guessed you might go real far So feed me with your kiss1Embed",Isn’t Anything
8,Sueisfine,my bloody valentine,21-Nov-88,"23 ContributorsSueisfine Lyrics I will Don't leave Me alone, oh Sue is fine Sue is fine Suicide Suicide Hold, hold, hold me Talk a lot, don't brood again Suicide Suicide Suicide Suicide Give me Fuck (Fuck) Come Now you'll taste so good You might also like Suicide Suicide Suicide Suicide Suicide (Suicide) Suicide (Suicide) Suicide SuicideEmbed",Isn’t Anything
9,Several Girls Galore,my bloody valentine,21-Nov-88,"14 ContributorsSeveral Girls Galore Lyrics Heard that I met me once before Was it me or just don't you care? Once more ignore As I wrap me around we I'm never quite there at all So which me should I prefer To go out driving in my car? Feeling so sore I took me out dancing Three of me or more Insane, I'm sure We're living inside me Are several girls galore Once more ignore I'll wrap me around we I'm never quite there at all You might also like Insane, I'm sure We're living inside me Several girls galoreEmbed",Isn’t Anything
10,You Never Should,my bloody valentine,21-Nov-88,"16 ContributorsYou Never Should Lyrics Twisting round inside My heart is burning up, my head divide But you control these feelings I can't hide Tried to change my mind Until the end there's nothing in control of you It isn't easy but that's all I can do Oh, you took a long time Yeah, 'cause you probably could Ooh, you said the fault was mine Yeah, but you never should Breaking down again You're running little circles through your hair I could walk away now and you wouldn't care Don't look so surprised You crawl around and then you seem to wonder why I turn around and see madness in your eyes Oh, you took a long time Yeah, 'cause you probably could Ooh, you said the fault was mine Yeah, but you never shouldYou might also like1Embed",Isn’t Anything
11,Nothing Much to Lose,my bloody valentine,21-Nov-88,"11 ContributorsNothing Much to Lose Lyrics Your soft hand But I don't understand Your big brown eyes With a small small heart I'll come down, down, down Oh, you don't know what you found Don't, don't walk, walk, walk away Take me I will remember you Long dark hair Nothing much to lose Help you crawl, crawl, crawl Oh, I want to see it all Eyes asked, ""Why? Why? Why?"" Too late Please you Oh, I know what to do A soft salt taste Do you see me as a fool? You might also like Can I look, look, look? Oh, the things you took Eyes asked, ""Why? Why? Why?"" Too late I'll come down, down, down Oh, you don't know what you found Don't, don't walk, walk, walk away3Embed",Isn’t Anything
12,I Can See It (But I Can’t Feel It),my bloody valentine,21-Nov-88,"14 ContributorsI Can See It (But I Canât Feel It) Lyrics Don't know when I will leave you again Grab a reason And I'm dragging you down Come just to make you happy Shot in the head I can see I can see it But I can't feel it Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Don't know when I will leave you again Grab a reason And I'm dragging you down Come just to make you happy Shot in the head I can see I can see it But I can't feel it Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh ooh Ooh ooh, ooh oohYou might also likeEmbed",Isn’t Anything
1,Chelsea Girl,Ride,15-Jan-90,"6 ContributorsChelsea Girl LyricsTake me for a ride away from the places we have known If I stay around, I'll just remember I'm alone There's someone in my memory making me move on What was gray and hazy, it's black and white now I have gone Drive me up to London, now it's got too dark to see My wait is over, there's no visitor for me Never let me talk to you, destroy the frozen past It's a different time now, things are moving much too fast Float by today, now it's turning to gray Raining my doubts, let my thoughts slip away You must have something and what it is I don't know You must have something 'cause I can't let you goSee Ride LiveGet tickets as low as $54You might also like1Embed",Ride [EP]
2,Drive Blind,Ride,15-Jan-90,"7 ContributorsDrive Blind Lyrics Can't see the lights or the blue orange signs Can't see the roads or the long white lines Feeling the ground through the pedals on the floor Feeling death pounding at the door Oh Oh Oh Windows all open, chaos in my hair Driving me 'round and leaving me there Cover my eyes and we'll die driving blind Cover my trail and we'll leave this life behind Oh, drive blind Oh, drive blind Oh, drive blind Oh, drive blind All at once, too much light Captured and frozen, hear no sound Bright flashes penetrate Glowing, flowing, lifting off the ground See Ride LiveGet tickets as low as $54You might also like Can't see the lights or the blue orange signs Can't see the roads or the long white lines Cover my eyes and we'll die driving blind Cover my trail and we'll leave this life behind Oh, drive blind Oh, drive blind Oh, drive blind Oh, drive blindEmbed",Ride [EP]
3,All I Can See,Ride,15-Jan-90,"5 ContributorsAll I Can See LyricsLying still, staring out of the window All I can see is doubt Watching as tonight moves in Watching as the light fades out Smoky rooms, minds out of tune Lights go down on the time spent with you The time moves into place, where our memories fade Is all I can see so true? You treated me like a foolSee Ride LiveGet tickets as low as $54You might also like1Embed",Ride [EP]
4,Close My Eyes,Ride,15-Jan-90,"7 ContributorsClose My Eyes Lyrics Last night I had such a good time But there's a price to pay A night full of kicks, now the sun's in my eyes And I feel so weary today I want to close my eyes I want to close my eyes I want to ride and ride and ride Till I'm blown away Make your body a blanket Let me rest my head The world can wait for just a few minutes more They might as well be dead I want to close my eyes I want to close my eyes I want to ride and ride and ride Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away Till I'm blown away See Ride LiveGet tickets as low as $54You might also likeI want to close my eyes I want to close my eyes I want to close my eyesEmbed",Ride [EP]
1,Like A Daydream,Ride,2-Apr-90,"7 ContributorsLike A Daydream LyricsThe way your hair hangs down, it hides away your face For you, it's perfect when it seems like such a waste And when I see you gliding past, I make my plans And then my plans slip through my fingers just like sand I wish that life could be just like a photograph One moment captured as you laugh your perfect laugh But that's a daydream, things could never be so right There's so much more to think about than black and whiteSee Ride LiveGet tickets as low as $54You might also likeEmbed",Play [EP]
2,Silver,Ride,2-Apr-90,"6 ContributorsSilver LyricsWho said 'time heals all wounds'? I think it was me before I met you Your silver chains have slit my wrists When I fell in love, I never asked for this All this time and I still can't see How your poisoned mind still poisons me The silver chains around your neck Cut my throat when you turned your back I've tried so hard to keep control But the thought of you keeps tearing at my soul I've tried so hard to keep control But the thought of you keeps tearing at my soulSee Ride LiveGet tickets as low as $54You might also likeEmbed",Play [EP]
3,Furthest Sense,Ride,2-Apr-90,"4 ContributorsFurthest Sense LyricsUnsure of emotions And unsure of my stand That time was so perfect Who could ever understand? So don't try to criticise You don't know the change that's in my eyes Plastic feelings and emotions Your lifestyle is your only tie It's time for a change I'm not asking I'm telling you I'm watching, I'm listening But to touch seems the furthest sense away Tomorrow's another day Regret belongs to yesterday But I'm screaming, I'm shouting I'm sick of everything that's said The stars are out tonight And in my eyes there is a guiding light That's keeping me awake And making my dreams my only sight It's time for a change I'm not asking I'm telling you I'm watching, I'm listening But to touch seems the furthest sense awaySee Ride LiveGet tickets as low as $54You might also likeEmbed",Play [EP]
4,Perfect Time,Ride,2-Apr-90,6 ContributorsPerfect Time LyricsAnother stupid day I'm confused and I can't explain Why I'm having to run away And find a new place to stay And now I'm not so sure If I've felt so low before Why do I still want more? 'Cause you're killing me to the core I thought I was in line And happiness was mine I was sure that I had found Found my perfect timeSee Ride LiveGet tickets as low as $54You might also likeEmbed,Play [EP]
1,Dreams Burn Down,Ride,17-Sep-90,"14 ContributorsDreams Burn Down Lyrics Lying under sky laughing at everything I say And pulls me under, there's no time to resist Lying on the floor the tears are falling down and more Her eyes speak loud but actions speak the best Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every time She's effortlessly cool but circumstances can be cruel And sometimes you must accept that you can't get what you want We fill up our days and nights, we fill up the gaps in our empty little lives But we know we are doomed the moment we walk out the room Waiting, hoping for a sign That what's forbidden can be mine I just want what I can't have 'Til my dreams burn down and choke me every timeSee Ride LiveGet tickets as low as $54You might also like1Embed",Fall [EP]
