Track Number,Song Title,Album,Artist,Release Date,Lyrics
1,Moonlight Medicine,Carnival of Light,Ride,20-Jun-94,5 ContributorsMoonlight Medicine Lyrics It's just a state of mind Freedom and time Has got me frozen up inside I wanna recognise Under this moonlight That god is on my side With senses running wild We touched the sky It looks like heaven in my eyes Moonlight medicine Keeps me alive Don't let your senses be denied Won't you shine Some light in my mind The more I find The more I need your medicine in my life Won't you shine Some light in my mind The more I find The more I need your medicine in my lifeSee Ride LiveGet tickets as low as $54You might also likeEmbed
2,1000 Miles,Carnival of Light,Ride,20-Jun-94,"5 Contributors1000 Miles LyricsThis night these memories lost and found Are taking over me I could see your picture and hear the sound Of the song you sung to me You gotta feel and take every chance You did the right thing Drove a thousand miles away Out of trace and in another time You did the wrong thing And bought it back in your mind Why's life so unkind? For always and ever it's getting better I feel your steps with mine I'm moving on like it said in the letter Another place, another time Blown away Got blown away, a thousand miles awaySee Ride LiveGet tickets as low as $54You might also likeEmbed"
3,From Time To Time,Carnival of Light,Ride,20-Jun-94,"7 ContributorsFrom Time To Time LyricsWhen the morning comes you won't be mine I know that angels come from time to time There's nothing much to see just sensuality I know that angels come from time to time On a perfect day come my way And see what matters and what you'll never find There's a storm in your eyes when your body's next to mine I know that angels come from time to time Can you see better things, coming your way? Can you feel all heavy air, lifting off your days? Can you see it's easy when you open up your mind? I know that angels come from time to time Laid up above the road, I'll never know Where the finest hours seem to go I just look out to space, me and my faith I know that angels come from time to time, from time to time From time to time, from time to time From time to time, from time to time From time to time, from time to timeSee Ride LiveGet tickets as low as $54You might also likeEmbed"
4,Natural Grace,Carnival of Light,Ride,20-Jun-94,"6 ContributorsNatural Grace LyricsI've been higher than all of you 'til the sun's in my eyes And the sky is blue And all that's left for me to do Is to come back down To the ground These moments away make your heart ring true They open your eyes Find out what you can do And all that's left for me to do Is to come back down, inside Well I live In this place With a natural grace As I walk Through confusion With a smile on my face Well I live In this place With a natural grace And I walk Through confusion With a smile on my face So a stumble here and a tumble there We all need someone to love and care And though these moments may change You'll still be the best thing That I ever hadSee Ride LiveGet tickets as low as $54You might also likeEmbed"
5,Only Now,Carnival of Light,Ride,20-Jun-94,"6 ContributorsOnly Now LyricsOnly now the jewel shining, only now I've lost the fear In an hour I'll stop crying along the road ahead Early on our life burned, early on the gem not clear Comes the time to take a turn to find another way And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me away Only now have you touched me but by now you're who knows where Only now has it hit me, wasn't sure before Early on the signals cross, where's the potion, where's the drug Just for now the jewel is lost, keep on the road ahead And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me away Early on the signals cross where's the potion where's the drug Just for now the jewel is lost, keep on the road ahead And I swear, no hurricane could lead me all astray And I swear, no hurricane would dare to try to keep me awaySee Ride LiveGet tickets as low as $54You might also likeEmbed"
6,Birdman,Carnival of Light,Ride,18-Apr-94,"10 ContributorsBirdman LyricsBlackbird flying in the sky Please don't look me in the eye You are very very lucky It's never easy to find me The winter's coming now you've grown The cold will numb you to the bone It cuts you through so that you know In pain the minutes go so slow Your soul and mine will carry on When this transparent world is gone There's nothing strange in what I say It's always meant to be this way Power streams where love is strong Energy converting, never gone There's never going to be an end A million atoms can't pretend Until the cold ground swallows me Me and Ide go running free Then we'll change, not disappear All channels receiving loud and clear Birdman think he owns the sky But he can't look me in the eye I walk on gilded mirror blades I walk on razors feel no pain See Ride LiveGet tickets as low as $54You might also likeIn the heat of summertime Rolling thunder is my sign I understand what's going on I'm gonna fly right to the sunEmbed"
7,Crown of Creation,Carnival of Light,Ride,20-Jun-94,"8 ContributorsCrown of Creation LyricsDon't wake me up if it's another day 'cos I don't wanna see it on my own Your love is all that I am asking for But they won't let us be alone I've been running for a thousand miles I didn't find a better place I need to hold your body in my arms And feel your kisses on my face Don't you hide your love away You are the Crown of Creation I wanna be your relation I'm getting off at your station Well I was looking for a waterfall And whatever nature showed to me To be alone these things just bring you down When you can share them, then you're free When I wake up next to you And I breathe the morning air I know that you're the only one for me Baby, nothing can compareSee Ride LiveGet tickets as low as $54You might also likeEmbed"
8,How Does It Feel to Feel?,Carnival of Light,Ride,13-Jun-94,8 ContributorsHow Does It Feel to Feel? LyricsHow does it feel when the day is over? How does it feel when the dark comes down? How does it feel when your room is black as sin? How does it feel when you're scared by the dark? How does it feel to feel? How does it feel to feel? How does it feel when a shadow moves you? How does it feel rustled by your bed? How does it feel when it finally holds you? How does it feel when you're thinking you're dead? How does it feel to feel? How does it feel to feel? How does it feel when you wake in the morning? How does it feel feeling sun in the shade? How does it feel when you slide down a sunbeam? How does it feel bursting clouds on your way? How does it feel now that the night is over? How does it feel never to sleep again? How does it feel to feel?See Ride LiveGet tickets as low as $54You might also likeEmbed
9,Endless Road,Carnival of Light,Ride,20-Jun-94,"7 ContributorsEndless Road LyricsThe fiery sun burns, from morning to evening Across this stony plain where nothing grows Huge clouds of dust are thrown up by the scorching wind Why do we travel on this endless road? Deaf and blinded he comes to a river Senses blocked by the dust and the night Something is calling, he sleepwalks without falling Sixth sense stops him, in the shadowless light I don't remember, I don't remember Help me to remember One night by the fire somebody is talking His voice is so happy, it almost sings Like a vision, somehow he remembers Takes the road back to forests and springsSee Ride LiveGet tickets as low as $54You might also likeEmbed"
10,Magical Spring,Carnival of Light,Ride,20-Jun-94,"7 ContributorsMagical Spring LyricsBaby's got a magic power, she can change the seasons She's saving up her magic power, for very special reasons If you drink her potion, you're going to lose your mind The water from this magic spring, is the best that you can find... Take a drink of the water, from the magical spring You'd better believe it, it's a wonderful thing You'll love her 'til the end of time You'll need her 'til you die Maybe you are wondering So here's the reason why She holds the key to everything, inside her pretty hands She doesn't go to sleep at night, she's making evil plans You can try, but you just can't tell her no She'll bring you to your knees, and she'll never let you go Drink from the fountain, where the air is thin You'd better believe in the magical springSee Ride LiveGet tickets as low as $54You might also likeEmbed"
